order_id,customer_id,order_date,status
1,1,2024-01-05,completed
2,2,2024-01-06,completed
3,3,2024-01-07,completed
4,4,2024-01-08,completed
5,5,2024-01-09,completed
6,6,2024-01-10,completed
7,7,2024-01-11,completed
8,8,2024-01-12,completed
9,9,2024-01-13,completed
10,10,2024-01-14,completed
11,11,2024-01-15,completed
12,12,2024-01-16,completed
13,13,2024-01-17,completed
14,14,2024-01-18,completed
15,15,2024-01-19,completed
16,16,2024-01-20,completed
17,17,2024-01-21,completed
18,18,2024-01-22,completed
19,19,2024-01-23,completed
20,20,2024-01-24,completed
21,1,2024-01-16,completed
22,2,2024-01-16,completed
23,3,2024-01-17,completed
24,4,2024-01-17,completed
25,5,2024-01-18,completed
26,6,2024-01-18,completed
27,7,2024-01-19,completed
28,8,2024-01-19,completed
29,9,2024-01-20,completed
30,10,2024-01-20,completed
31,11,2024-01-21,completed
32,12,2024-01-21,completed
33,13,2024-01-22,completed
34,14,2024-01-22,completed
35,15,2024-01-23,cancelled
36,16,2024-01-23,completed
37,17,2024-01-24,completed
38,18,2024-01-24,completed
39,19,2024-01-25,completed
40,20,2024-01-25,completed
41,1,2024-01-26,completed
42,2,2024-01-26,completed
43,3,2024-01-27,completed
44,4,2024-01-27,completed
45,5,2024-01-28,completed
46,6,2024-01-28,completed
47,7,2024-01-29,completed
48,8,2024-01-29,completed
49,9,2024-01-30,completed
50,10,2024-01-30,completed
51,11,2024-01-31,completed
52,12,2024-01-31,completed
53,13,2024-02-01,completed
54,14,2024-02-01,completed
55,15,2024-02-02,completed
56,16,2024-02-02,completed
57,17,2024-02-03,completed
58,18,2024-02-03,completed
59,19,2024-02-04,cancelled
60,20,2024-02-04,completed
61,1,2024-02-05,completed
62,2,2024-02-05,completed
63,3,2024-02-06,completed
64,4,2024-02-06,completed
65,5,2024-02-07,completed
66,6,2024-02-07,completed
67,7,2024-02-08,completed
68,8,2024-02-08,completed
69,9,2024-02-09,completed
70,10,2024-02-09,completed
71,11,2024-02-10,completed
72,12,2024-02-10,completed
73,13,2024-02-11,completed
74,14,2024-02-11,completed
75,15,2024-02-12,completed
76,16,2024-02-12,completed
77,17,2024-02-13,completed
78,18,2024-02-13,completed
79,19,2024-02-14,completed
80,20,2024-02-14,completed
81,1,2024-02-15,completed
82,2,2024-02-15,completed
83,3,2024-02-16,completed
84,4,2024-02-16,completed
85,5,2024-02-17,completed
86,6,2024-02-17,completed
87,7,2024-02-18,completed
88,8,2024-02-18,completed
89,9,2024-02-19,completed
90,10,2024-02-19,completed
91,11,2024-02-20,completed
92,12,2024-02-20,completed
93,13,2024-02-21,completed
94,14,2024-02-21,completed
95,15,2024-02-22,cancelled
96,16,2024-02-22,completed
97,17,2024-02-23,completed
98,18,2024-02-23,completed
99,19,2024-02-24,completed
100,20,2024-02-24,completed
101,1,2024-02-25,completed
102,2,2024-02-25,completed
103,3,2024-02-26,completed
104,4,2024-02-26,completed
105,5,2024-02-27,completed
106,6,2024-02-27,completed
107,7,2024-02-28,completed
108,8,2024-02-28,completed
109,9,2024-02-29,completed
110,10,2024-02-29,completed
111,11,2024-03-01,completed
112,12,2024-03-01,completed
113,13,2024-03-02,completed
114,14,2024-03-02,completed
115,15,2024-03-03,completed
116,16,2024-03-03,completed
117,17,2024-03-04,completed
118,18,2024-03-04,completed
119,19,2024-03-05,completed
120,20,2024-03-05,completed
